Avg time,Semaphore,Simulation Type,Emergency Prob.,Pedestrian Prob.,Exit Rate
2,1,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,17,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,3,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,4,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,6,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,8,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,10,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,11,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,12,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,13,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,14,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,15,CONSENSUAL_AGENTS,0.4745412140490953,0.2738012179499492,2
2,1,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,17,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,3,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,4,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,6,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,8,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,10,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,11,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,12,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,13,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,14,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,15,CONSENSUAL_AGENTS,0.3082428966497537,0.2365521355997771,1
2,1,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,17,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,3,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,4,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,6,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,8,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,10,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,11,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,12,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,13,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,14,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,15,CONSENSUAL_AGENTS,0.17348885106737727,0.9321739540668205,1
2,1,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,17,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,3,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,4,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,6,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,8,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,10,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,11,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,12,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,13,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,14,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
2,15,CONSENSUAL_AGENTS,0.43735188755439597,0.5048518242547289,2
8,1,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,17,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,3,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,4,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,6,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,8,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,10,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,11,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,12,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,13,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,14,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
8,15,SMART_AGENTS,0.4762036236433778,0.8987126594176515,2
30,1,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
29,17,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,3,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,4,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,6,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,8,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,10,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
29,11,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,12,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
29,13,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,14,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
30,15,TIMED_AGENTS,0.11077559796976857,0.23071276142727584,4
9,1,SMART_AGENTS,0.14807140571065247,0.23615331458859146,3
